X Field,X轴字段
"<h4>Default Template</h4><p>Uses <a href=""http://jinja.pocoo.org/docs/templates/"">Jinja Templating</a> and all the fields of Address (including Custom Fields if any) will be available</p><pre><code>{{ address_line1 }}&lt;br&gt;{% if address_line2 %}{{ address_line2 }}&lt;br&gt;{% endif -%}{{ city }}&lt;br&gt;{% if state %}{{ state }}&lt;br&gt;{% endif -%}{% if pincode %} PIN:  {{ pincode }}&lt;br&gt;{% endif -%}{{ country }}&lt;br&gt;{% if phone %}Phone: {{ phone }}&lt;br&gt;{% endif -%}{% if fax %}Fax: {{ fax }}&lt;br&gt;{% endif -%}{% if email_id %}Email: {{ email_id }}&lt;br&gt;{% endif -%}</code></pre>","<H4>默认模板</ H4>  <p> 使用<a  Jinja href=""http://jinja.pocoo.org/docs/templates/"">模板</A>和地址的所有字段（包括自定义字段如果有的话）将可</ P>  <前> <代码> {{address_line1}}＆LT; BR＆GT;  {％，如果address_line2％} {{address_line2}}＆LT; BR＆GT; { ENDIF％ - ％}  {{城市}}＆LT; BR＆GT;  {％，如果状态％} {{状态}}＆LT; BR＆GT; {％ENDIF - ％} {％，如果PIN代码％} PIN：{{PIN码}}＆LT; BR＆GT; {％ENDIF - ％}  {{国家}}＆LT; BR＆GT;  {％，如果电话％}电话：{{电话}}＆LT; BR＆GT; { ％ENDIF - ％}  {％，如果传真％}传真：{{传真}}＆LT; BR＆GT; {％ENDIF - ％}  {％，如果email_id％}电子邮件：{{email_id}}＆LT; BR＆GT {％ENDIF - ％}  </代码> </ PRE>"
<b>{0}</b> has been successfully unsubscribed from this mailing list.,<b>{0}</b>已成功地从这个邮件列表退订。
Customizations for <b>{0}</b> exported to:<br>{1},<b>{0}的</b>自定义已导出到： <br> {1}
<b>Example:</b> SAL-{first_name}-{date_of_birth.year} <br>This will generate a password like SAL-Jane-1972,<b>示例：</b> SAL- {first_name}  -  {date_of_birth.year} <br>这将生成一个像SAL-Jane-1972的密码
"<h3>About Product Bundle</h3>

<p>Aggregate group of <b>Items</b> into another <b>Item</b>. This is useful if you are bundling a certain <b>Items</b> into a package and you maintain stock of the packed <b>Items</b> and not the aggregate <b>Item</b>.</p>
<p>The package <b>Item</b> will have <code>Is Stock Item</code> as <b>No</b> and <code>Is Sales Item</code> as <b>Yes</b>.</p>
<h4>Example:</h4>
<p>If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.</p>",<h3>套件</h3><p>将一组<b>物料</b>组合成另一个<b>套件物料</b>.适用于套件包含的物料属于库存物料，套件本身只是用于销售，在物料主数据中勾选<code>允许销售</code>，不勾选<code>允许库存</code></p><h4>比如:</h4><p>你单独出售笔记本电脑和电脑包，希望给同时购买笔记本电脑和电脑包的客户特别的优惠，就可以将笔记本电脑和电脑包组合成一个套件</p>
<p>No results found for '{0}' in Global Search</p>,<p>全局检索关键字 '<b>{0}</b>' 未找到匹配资料</p>
<p>No results found for '</p>,<p>找不到符合条件的结果</p>
A+,A +
A Positive,A+
A Negative,A-
A-,A-
A4,A4
AB+,AB +
AB Positive,AB+
AB Negative,AB-
AB-,AB-
ACC-AML-.YYYY.-,ACC-AML-.YYYY.-
ACC-ASR-.YYYY.-,ACC-ASR-.YYYY.-
ACC-ASS-.YYYY.-,ACC-ASS-.YYYY.-
ACC-BTN-.YYYY.-,ACC-BTN-.YYYY.-
ACC-CF-.YYYY.-,ACC-CF-.YYYY.-
ACC-JV-.YYYY.-,ACC-JV-.YYYY.-
ACC-PAY-.YYYY.-,ACC-PAY-.YYYY.-
ACC-PINV-.YYYY.-,ACC-PINV-.YYYY.-
ACC-PRQ-.YYYY.-,ACC-PRQ-.YYYY.-
ACC-SH-.YYYY.-,ACC-SH-.YYYY.-
ACC-SINV-.YYYY.-,ACC-SINV-.YYYY.-
AMC Expiry Date,年底维保合同到期日
ap-northeast-1,AP-东北-1
ap-northeast-2,AP-东北-2
ap-northeast-3,AP-东北-3
ap-southeast-1,AP-东南-1
ap-southeast-2,AP-东南-2
ap-south-1,AP-南1
API,API
API Token,API令牌
API Password,API密码
API Key,API密钥
API Key cannot be  regenerated,API密钥无法重新生成
API Secret,API密码
API consumer key,API消费者密钥
API consumer secret,API消费者密码
API Username,API用户名
API Endpoint,API端点
API Endpoint Args,API端点参数
ASC,升序
ASC-,ASC-
AU,AU
AWS Access Key ID,AWS访问密钥ID
B+,B +
B Positive,B+
B Negative,B-
B-,B-
B2C Limit,B2C限制
BCC,BCC
BOM Explorer,BOM Explorer
BOM recursion: {0} cannot be parent or child of {2},BOM {0}不能是{2}的上级或下级
BOM {0} does not belong to Item {1},BOM{0}不属于物料{1}
BOM {0} must be active,BOM{0}必须处于生效状态
BOM {0} must be submitted,BOM{0}未提交
BOM does not contain any stock item,BOM不包含任何库存物料
BOM and Manufacturing Quantity are required,BOM和生产量是必需的
BOM Explosion Item,BOM底层物料
BOM Operation,BOM工序
BOM Variance Report,BOM差异报表
BOM Stock Report,BOM库存齐套报表
BOM Stock Calculated,BOM库存计算
BOM Scrap Item,BOM废料
BOM Search,物料用途查询(用在哪个物料清单中)
BOM Update Tool,物料清单批量更新工具
BOM Browser,BOM浏览器
BOM Item,BOM明细
BOM Rate,BOM税率
BOM Website Operation,展示在网站上的BOM工序
BOM Website Item,展示在网站上的BOM物料
BOM recursion: {0} cannot be parent or child of {1},BOM递归：{0}不能是{1}的父级或子级
BR,BR
BankAccount.validate_iban() failed for valid IBAN {},BankAccount.validate_iban（）因有效IBAN {}失败
BankAccount.validate_iban() failed for empty IBAN,BankAccount.validate_iban（）因空IBAN而失败
BankAccount.validate_iban() accepted invalid IBAN {},BankAccount.validate_iban（）接受了无效的IBAN {}
Beta,Beta版
Braintree payment gateway settings,Braintree支付网关设置
Braintree Settings,Braintree设置
By,By
C-form is not applicable for Invoice: {0},C-形式不适用发票：{0}
C-Form Invoice Detail,C-形式发票详细信息
C-Form,C-表
C-Form Applicable,C-表格适用
C-Form No,C-表编号
C-Form records,C-表记录
CA,CA
Path to CA Certs File,CA Certs文件的路径
ca-central-1,CA-中央-1
CC,CC
CEO,CEO
CESS Account,CESS科目
CESS Amount,CESS金额
CGST Account,CGST账户
CGST Amount,CGST金额
CN,CN
cn-north-1,CN  - 北 -  1
cn-northwest-1,CN-西北-1
cog,COG
CRM,CRM
CRM-LEAD-.YYYY.-,CRM-LEAD-.YYYY.-
CRM-OPP-.YYYY.-,CRM-OPP-.YYYY.-
CSS,CSS
CSV,CSV
The CSV format is case sensitive,CSV格式区分大小写
Invalid CSV Format,CSV格式无效
CUST-.YYYY.-,CUST-.YYYY.-
Chargeble,Chargeble
Ctrl+Enter to add comment,Ctrl + Enter 添加评论
DATEV,DATEV
DE,DE
DESC,倒序
Dadra and Nagar Haveli,Dadra和Nagar Haveli
Defense,Defense
Doc Date,Doc Date
DocType must be Submittable for the selected Doc Event,DocType必须为所选Doc事件提交
Doctype required,Doctype需要
Dropbox Access Key,Dropbox的Key
Dropbox backup settings,Dropbox的备份设置
Dropbox Access Secret,Dropbox的密码
Dropbox Settings,Dropbox的设置
Dropbox Setup,Dropbox的设置
Dropbox access is approved!,Dropbox的访问被批准！
Dropbox Access Token,Dropbox访问令牌
EAN,EAN
EDU-APP-.YYYY.-,EDU-APP-.YYYY.-
EDU-CSH-.YYYY.-,EDU-CSH-.YYYY.-
EDU-FSH-.YYYY.-,EDU-FSH-.YYYY.-
EDU-FST-.YYYY.-,EDU-FST-.YYYY.-
EDU-INS-.YYYY.-,EDU-INS-.YYYY.-
EDU-STU-.YYYY.-,EDU-STU-.YYYY.-
EDU-FEE-.YYYY.-,EDU-收费.YYYY.-
EMI,EMI
ERPNext Settings,设置
ERPNext Company,ERPNext公司
ERPNext could not find any matching payment entry,ERPNext未找到任何匹配的收付款凭证
ERPNext Demo,ERPNext演示
ERPNext User,ERPNext用户
ERPNext User ID,ERPNext用户ID
ERPNext Account,ERPNext科目
ERPNext Setup Complete!,ERPNext设置完成！
ERPNext Integrations,ERPNext集成
ES,ES
eu-central-1,EU-中央-1
Eway Bill,Eway Bill
Excel,Excel
Excel,Excel
Excise Entry,消费税分录
Excise Page Number,Excise页码
Exotel Settings,Exotel设置
FCFS Rate,FCFS率
Fieldtype {0} for {1} cannot be unique,FIELDTYPE {0} {1}不能是唯一的
Fieldtype {0} for {1} cannot be indexed,FIELDTYPE {0} {1}不能进行索引
FR,FR
Fw: {0},FW：{0}
Facebook,Facebook
Fichier des Ecritures Comptables [FEC],Fichier des Ecritures Comptables [FEC]
Folio no.,Folio no。
Frappe,Frappe
Frappe Framework,Frappe框架
GCalendar Sync ID,GCalendar同步ID
GCalendar Account,GCalendar账户
GCalendar is not configured.,GCalendar未配置。
GCalendar Settings,GCalendar设置
Geo,GEO
GMail,GMail
GST HSN Code,GST HSN代码
GSTIN,GSTIN
Invalid GSTIN! A GSTIN must have 15 characters.,GSTIN无效！ GSTIN必须有15个字符。
Invalid GSTIN! First 2 digits of GSTIN should match with State number {0}.,GSTIN无效！ GSTIN的前2位数字应与州号{0}匹配。
Invalid GSTIN! The input you've entered doesn't match the format of GSTIN.,GSTIN无效！您输入的输入与GSTIN的格式不匹配。
Invalid GSTIN! The input you've entered doesn't match the GSTIN format for UIN Holders or Non-Resident OIDAR Service Providers,GSTIN无效！您输入的输入与UIN持有人或非居民OIDAR服务提供商的GSTIN格式不符
First 2 digits of GSTIN should match with State number {0},GSTIN的前2位数字应与状态号{0}匹配
GSTR 3B Report,GSTR 3B报告
GSTR-1,GSTR-1
GSTR-2,GSTR-2
GSTR3B-Form,GSTR3B表格
GST State Number,GST州号
GST Itemised Purchase Register,GST物料采购台账
GST Account,GST科目
GST Accounts,GST科目
GST Settings,GST设置
GSuite Document,GSuite文件
GSuite Templates,GSuite模板
GSuite test executed with success. GSuite integration is correctly configured,GSuite测试执行成功。 GSuite集成配置正确
GSuite script test,GSuite脚本测试
GSuite Settings,GSuite设置
GitHub,GitHub
GitHub ID,GitHub ID
GitHub Sync ID,GitHub同步ID
GoCardless SEPA Mandate,GoCardless SEPA授权
GoCardless Mandate,GoCardless任务
GoCardless Customer,GoCardless客户
GoCardless payment gateway settings,GoCardless支付网关设置
GoCardless Settings,GoCardless设置
Google API Credentials,Google API凭证
Google API Settings.,Google API设置。
Google Apps Script,Google Apps脚本
Google GSuite is not configured.,Google GSuite未配置。
Google GSuite Templates to integration with DocTypes,Google GSuite模板与DocTypes集成
Google Credentials,Google凭据
Docs Search,Google单据搜索
Google Maps integration,Google地图集成
Google Maps integration is not enabled,Google地图集成未启用
Google Calendar ID,Google日历ID
Google Services,Google服务
Google Contacts Integration is disabled.,Google联系人集成已停用。
Google Settings,Google设置
Google Contacts,Google通讯录
Google Contacts Description,Google通讯录说明
Google Contacts Integration.,Google通讯录集成。
Guardian1 Name,Guardian1名称
Guardian1 Mobile No,Guardian1手机号
Guardian1 Email ID,Guardian1电子邮件ID
Guardian2 Name,Guardian2名称
Guardian2 Mobile No,Guardian2手机号
Guardian2 Email ID,Guardian2电子邮件ID
HLC-CPR-.YYYY.-,HLC-CPR-.YYYY.-
HLC-ENC-.YYYY.-,HLC-ENC-.YYYY.-
HLC-INP-.YYYY.-,HLC-INP-.YYYY.-
HLC-LT-.YYYY.-,HLC-LT-.YYYY.-
HLC-PAT-.YYYY.-,HLC-PAT-.YYYY.-
HLC-PMR-.YYYY.-,HLC-PMR-.YYYY.-
HLC-SC-.YYYY.-,HLC-SC-.YYYY.-
HR,HR
HR-ADS-.YY.-.MM.-,HR-ADS-.YY .-。MM.-
HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM。
HR-ATT-.YYYY.-,HR-ATT-.YYYY.-
HR-DRI-.YYYY.-,HR-DRI-.YYYY.-
HR-EAD-.YYYY.-,HR-EAD-.YYYY.-
HR-EMP-,HR-EMP-
HR-EXP-.YYYY.-,HR-EXP-.YYYY.-
HR-LAL-.YYYY.-,HR-LAL-.YYYY.-
HR-LAP-.YYYY.-,HR-LAP-.YYYY.-
HR-VLOG-.YYYY.-,HR-VLOG，.YYYY.-
HRA Exemption,房租津贴减免
HRA as per Salary Structure,基于薪资结构的房租津贴
HRA Component,房租津贴
HRA Settings,房租津贴设置
HSN,HSN
HSN/SAC,HSN / SAC
HSN Code,HSN代码
HTML,HTML
HTML,HTML
Employees HTML,HTML员工
Help HTML,HTML帮助
HTML / Banner that will show on the top of product list.,HTML或横幅，将显示在产品列表的顶部。
"HTML Header, Robots and Redirects",HTML标头，机器人和重定向
Letter Head in HTML,HTML格式表头
Modules HTML,HTML模块
HTML for header section. Optional,HTML的标题区。可选
HTML Editor,HTML编辑器
HTML Editor,HTML编辑器
HTML Header & Robots,HTML页眉和机器人
Hub,集市(Hub)网站
Hub Warehouse,集市(Hub)网站仓库
Hub Publishing Details,集市(Hub)网站发布详情
Hub Users,集市(Hub)网站用户
Hub Node,Hub节点
Hub Tracked Item,集市(Hub)网站跟踪物料
IBAN,IBAN
IBAN is not valid,IBAN无效
ID,ID
Idx,IDX
ID field is required to edit values using Report. Please select the ID field using the Column Picker,ID字段是必须的编辑使用报表值。使用列选择器请选择ID字段
IFSC Code,IFSC代码
IGST Account,IGST科目
IGST Amount,IGST金额
III,III
INR,INR
IP Address,IP地址
IRS 1099,IRS 1099
Inward supplies from ISD,ISD的内向供应
ISO 8601 standard,ISO 8601标准
ISS-,ISS-
ISS-.YYYY.-,ISS-.YYYY.-
ITC Available (whether in full op part),ITC可用（无论是全部操作部分）
ITC Reversed,ITC逆转
IV,IV
InnoDB,InnoDB
Invalid {0} for Inter Company Transaction.,Inter Company Transaction无效{0}。
JP,J.P
JS,JS
Js,JS
JSON,JSON
JSON Output,JSON输出
JavaScript Format: frappe.query_reports['REPORTNAME'] = {},JavaScript格式：frappe.query_reports ['REPORTNAME'] = {}
JavaScript,JavaScript的
Javascript,Javascript
John Doe,John Doe
LDAP First Name Field,LDAP 姓名字段
LDAP Security,LDAP安全性
LDAP Search String,LDAP搜索字符串
"LDAP Search String needs to end with a placeholder, eg sAMAccountName={0}",LDAP搜索字符串需要以占位符结束，例如sAMAccountName = {0}
LDAP Server Url,LDAP服务器URL
LDAP is not enabled.,LDAP未启用。
LDAP Not Installed,LDAP未安装
LDAP Username Field,LDAP用户名字段
LDAP Email Field,LDAP电子邮件字段
LDAP Settings,LDAP设置
LInked Analysis,LInked分析
LMS User,LMS用户
Interviewer,面试官
LP-,LP-
LabTest Approver,LabTest审批者
Lakshadweep Islands,Lakshadweep群岛
Lft,Lft
Logo,Logo
MAT-DN-.YYYY.-,MAT-DN-.YYYY.-
MAT-DT-.YYYY.-,MAT-DT-.YYYY.-
MAT-INS-.YYYY.-,MAT-INS-.YYYY.-
MAT-LCV-.YYYY.-,MAT-LCV-.YYYY.-
MAT-MR-.YYYY.-,MAT-MR-.YYYY.-
MAT-MSH-.YYYY.-,MAT-MSH-.YYYY.-
MAT-MVS-.YYYY.-,MAT-MVS-.YYYY.-
MAT-PAC-.YYYY.-,MAT-PAC-.YYYY.-
MAT-PRE-.YYYY.-,MAT-PRE-.YYYY.-
MAT-QA-.YYYY.-,MAT-QA-.YYYY.-
MAT-RECO-.YYYY.-,MAT-RECO-.YYYY.-
MAT-STE-.YYYY.-,MAT-STE-.YYYY.-
MFG-BLR-.YYYY.-,MFG-BLR-.YYYY.-
MFG-PP-.YYYY.-,MFG-PP-.YYYY.-
MFG-WO-.YYYY.-,MFG-WO-.YYYY.-
MWS Auth Token,MWS Auth Token
MWS Credentials,MWS凭证
MX,MX
Mx,MX
Markdown,Markdown
Markdown Editor,Markdown编辑
Meetup Embed HTML,Meetup嵌入HTML
Memebership Type Details,Memebership类型详细信息
Memebership Details,Memebership细节
Min Amt can not be greater than Max Amt,最小金额不能大于最大金额
MyISAM,MyISAM数据
NPO-MEM-.YYYY.-,NPO-MEM-.YYYY.-
No,No
O+,O +
O Positive,O+
O Negative,O-
O-,O-
OAuth Client,OAuth客户端
OAuth Bearer Token,OAuth的承载令牌
OAuth Authorization Code,OAuth的授权码
OAuth Provider Settings,OAuth的提供商设置
ODC,ODC
OP Consulting Charge,OP咨询费
OTP Secret has been reset. Re-registration will be required on next login.,OTP Secret已被重置。下次登录时需要重新注册。
OTP Issuer Name,OTP发行人名称
OTP App,OTP应用程序
OTP secret can only be reset by the Administrator.,OTP秘密只能由管理员重置。
Office 365,Office 365
Opp/Lead %,Opp / Lead％
Outlook.com,Outlook.com
PAN,PAN
PDF,PDF
PDF generation failed,PDF生成失败
PDF generation failed because of broken image links,PDF生成，因为破碎的图像链接失败
PDF Settings,PDF设置
PDF Page Size,PDF页面大小
Pincode,PIN代码
Pin Code,PIN码
PMO-,PMO-
POS,POS
Territory is Required in POS Profile,销售点设置中区域字段必填
Customer Group is Required in POS Profile,POS Profile中需要客户组
POS-CLO-,POS-CLO-
POS Closing Voucher,POS关闭凭证
POS Closing Voucher Invoices,POS关闭凭证发票
POS Closing Voucher Taxes,POS关闭凭证税
POS Closing Voucher Details,POS关闭凭证详细信息
POS Customer Group,POS客户组
POS Item Group,POS物料组
POS Profile,POS设置
POS Settings,POS设置
Point-of-Sale Profile,POS配置
POS Profile Name,POS配置文件名称
POS Profile User,POS配置文件用户
Setup mode of POS (Online / Offline),POS（在线/离线）的设置模式
PR sent,PR发送
PR Detail,PR信息
PU-SSP-.YYYY.-,PU-SSP-.YYYY.-
PUR-ORD-.YYYY.-,PUR-ORD-.YYYY.-
PUR-RFQ-.YYYY.-,PUR-RFQ-.YYYY.-
PUR-SQTN-.YYYY.-,PUR-SQTN-.YYYY.-
Parenttype,Parenttype
Parent is the name of the document to which the data will get added to.,Parent是将数据添加到的单据的名称。
Patinet Service Unit,Patinet服务单位
Prevdoc DocType,Prevdoc的DocType
ProTip: Add <code>Reference: {{ reference_doctype }} {{ reference_name }}</code> to send document reference,ProTip：添加<code>Reference: {{ reference_doctype }} {{ reference_name }}</code>发送单据引用
Python Module,Python模块
Pyver,Pyver
Expiry time of QR Code Image Page,QR码图像页面的到期时间
QZ Tray Failed: ,QZ托盘失败：
QZ Tray Connection Active!,QZ托盘连接有效！
QuickBooks Migrator,QuickBooks Migrator
Quickbooks Company ID,Quickbooks公司ID
A qustion must have at least one correct options,Qustion必须至少有一个正确的选项
Reqd,REQD
Rgt,RGT
rgt,RGT
Razorpay Payment gateway settings,Razorpay支付网关设置
Razorpay Settings,Razorpay设置
Rechedule,Rechedule
Redis cache server not running. Please contact Administrator / Tech support,Redis缓存服务器无法运行。请联系管理员/技术支持
Round Robin,Round Robin
S3 Backup complete!,S3备份完成！
S3 Backup Settings,S3备份设置
sa-east-1,SA-东1
SAL-CAM-.YYYY.-,SAL-CAM-.YYYY.-
SAL-ORD-.YYYY.-,SAL-ORD-.YYYY.-
SAL-QTN-.YYYY.-,SAL-QTN-.YYYY.-
SER-WRN-.YYYY.-,SER-WRN-.YYYY.-
SEZ,SEZ
SGST Account,SGST账户
SGST Amount,SGST金额
SG Creation Tool Course,SG创建工具课程
SMTP Server,SMTP服务器
"SQL Conditions. Example: status=""Open""",SQL条件。例如：status='Open'，字符串引号请使用英文半角的单引号
SSL/TLS Mode,SSL / TLS模式
STO-ITEM-.YYYY.-,STO-ITEM-.YYYY.-
SUB-,SUB-
SUP-.YYYY.-,SUP-.YYYY.-
SWIFT Number,SWIFT号码
SWIFT number,SWIFT号码
Sendgrid,Sendgrid
Shopify Webhook Detail,Shopify Webhook详细信息
Shopify Supplier,Shopify供应商
Shopify Log,Shopify日志
Shopify Tax/Shipping Title,Shopify税/运输标题
Shopify Tax Account,Shopify税收科目
Shopify Settings,Shopify设置
Skype,Skype
Slack Webhooks for internal integration,Slack Webhooks用于内部集成
Slack Webhook URL,Slack Webhook网址
Slack Webhook Error,Slack Webhook错误
Slack,Slack(即时通讯工具）
Slack Channel,Slack频道
Socketio is not connected. Cannot upload,Socketio未连接。无法上传
SparkPost,SparkPost
Stripe payment gateway settings,Stripe支付网关设置
Stripe Settings,Stripe设置
Suplier,Suplier
TDS Payable Monthly,每月应付代扣所得税
TDS Rate %,代扣所得税率％
TDS Computation Summary,代扣所得税摘要
TS-,TS-
TS-.YYYY.-,TS-.YYYY.-
Test_Folder,Test_Folder
Treshold {0}% appears more than once,Treshold {0}出现％不止一次
UID,UID
uid,UID
UIDNEXT,UIDNEXT
UIDVALIDITY,UIDVALIDITY
UOM Conversion in Hours,UOM按小时转换
UOM Category,UOM类别
UPC-A,UPC-A
Redirect URL,URL重定向
Varaiance ,Varaiance
Variant Based On cannot be changed,Variant Based On无法更改
Verdana,Verdana
Vimeo,Vimeo的
chevron-up,V形向上
chevron-down,V形向下
chevron-right,V形向右
chevron-left,V形向左
Webhook ID,Webhook ID
Webhook URL,Webhook URL
Webhooks Secret,Webhooks的秘密
Webhooks Details,Webhooks详细信息
Webhooks calling API requests into web apps,Webhook将API请求调用到Web应用程序中
Webhook Data,Webhook数据
Webhook Header,Webhook标题
Webhook Headers,Webhook标题
Webhook Request,Webhook请求
Web Form,Web表单
Web Form Field,Web表单字段
Web Form Fields,Web表单字段
Web View,Web视图
"Field ""route"" is mandatory for Web Views",Web视图必须使用字段“路由”
WooCommerce Products,WooCommerce产品
Woocommerce Server URL,Woocommerce服务器URL
Woocommerce Settings,Woocommerce设置
XLSX,XLSX
X Axis Field,X轴字段
Y,Y
Yandex.Mail,Yandex.Mail
YouTube,YouTube的
Y Axis Fields,Y轴字段
[{0}](#Form/Item/{0}) is out of stock,[{0}](#Form/Item/{0}) 超出了库存
[Label]:[Field Type]/[Options]:[Width],[标签]：[字段类型] / [选项]：[宽]
[Urgent] Error while creating recurring %s for %s,[紧急]为％s创建循环％s时出错
[Select],[选择]
[Error],[错误]
_doctype,_doctype
_report,_报表
`Freeze Stocks Older Than` should be smaller than %d days.,`冻结老于此天数的库存`应该比％d天小。
after_insert,after_insert
credit_note_amt,credit_note_amt
debit_note_amt,debit_note_amt
download-alt,download-alt
e-Way Bill JSON can only be generated from a submitted document,e-Way Bill JSON只能从提交的单据中生成
e-Way Bill JSON can only be generated from submitted document,e-Way Bill JSON只能从提交的单据中生成
e-Way Bill JSON can only be generated from Sales Invoice,e-Way Bill JSON只能从销售发票中生成
e-Way Bill already exists for this document,e-Way Bill已存在于本文件中
eject,eject
envelope,envelope
eye-close,eye-close
eye-open,eye-open
facetime-video,facetime-video
fairlogin,fairlogin
film,film
fire,fire
flag,flag
font,font
fullscreen,fullscreen
gift,gift
glass,glass
globe,globe
hand-down,hand-down
hand-left,hand-left
hand-right,hand-right
hand-up,hand-up
hdd,hdd
indent-left,indent-left
indent-right,indent-right
info-sign,info-sign
italic,italic
john@doe.com,john@doe.com
leaf,leaf
list-alt,list-alt
lock,lock
lowercase,lowercase
magnet,magnet
map-marker,map-marker
material_request_item,material_request_item
minus-sign,minus-sign
off,off
ok,ok
ok-circle,ok-circle
ok-sign,ok-sign
old_parent,old_parent
on_cancel,on_cancel
on_change,on_change
on_submit,on_submit
on_trash,on_trash
on_update,on_update
on_update_after_submit,on_update_after_submit
payment_url,payment_url
refresh_token,refresh_token
screenshot,screenshot
share-alt,share-alt
signal,signal
star-empty,star-empty
step-backward,step-backward
step-forward,step-forward
"target = ""_blank""","target = ""_blank"""
th,th
th-large,th-large
th-list,th-list
uidnext,uidnext
user@example.com,user@example.com
 for {0},{0}
Hi {0},{0}
To {0},{0}
{0} - {1} is inactive student,{0}  -  {1}是非活动学生
{0} - {1} is not enrolled in the Course {2},{0}  -  {1}未加入课程{2}
{0} - {1} is not enrolled in the Batch {2},{0}  -  {1}未注册为批号{2}
{0} Google Contacts synced.,{0} Google通讯录同步。
{0} units of [{1}](#Form/Item/{1}) found in [{2}](#Form/Warehouse/{2}),{0} [{1}]的单位（＃窗体/项目/ {1}）在[{2}]研究发现（＃窗体/仓储/ {2}）
{0} for {1},{0} {1}
{0} appreciation points for {1} {2},{0} {1} {2}的升值点
{0} appreciation point for {1} {2},{0} {1} {2}的点赞数
{0} {1} to {2},{0} {1} 到 {2}
{0} {1} is closed,{0} {1} 已关闭
{0} {1} created,{0} {1} 已创建
{0} {1} not in any active Fiscal Year.,{0} {1} 未在任一生效财年中。
{0} {1} is not active,{0} {1} 未生效
{0} {1}: Account {2} is inactive,{0} {1}: 科目{2}无效
{0} {1} does not exist,{0} {1}不存在
{0} {1} does not exist.,{0} {1}不存在。
"{0} {1} does not exist, select a new target to merge",{0} {1}不存在，选择一个新的目标合并
